#IDFRA	X	Y	W	H	DESPX	DESPY
#ENERGIA
1	0	13	12	5	0	0

#VIDAS
2	12	13	15	12	0	0

#ANKH
3	0	18	12	14	0	0

#EMPTY ENERGY
4	12	25	12	5	0	0

#BALA REVOLVER
10	0	0	6	13	0	0

#BALA REVOLVER AGOTADA
11	6	0	6	13	0	0

#CARTUCHO ESCOPETA
20	12	0	6	13	0	0

#CARTUCHO ESCOPETA AGOTADA
21	18	0	6	13	0	0

#BALA PISTOLA
30	24	0	6	13	0	0

#BALA PISTOLA AGOTADA
31	30	0	6	13	0	0

#BALA SUBFUSIL
40	36	0	6	13	0	0

#BALA SUBFUSIL AGOTADA
41	42	6	13	0	0	0

#OVERLAY FIRE
50	27	13	21	8	0	0

#OVERLAY TIME
60	27	21	21	8	0	0

#POWER TIME
70	0	32	12	12	0	0

#POWER FIRE
71	12	32	12	12	0	0

#POWER HEALTH
72	24	32	12	12	0	0

#POWER AMMO
73	36	32	12	12	0	0
