#IDFRA	X	Y	W	H	DESPX	DESPY
0	0	0	32	32	0	0
1	32	0	32	32	0	0
2	64	0	32	32	0	0
3	96	0	32	32	0	0
4	128	0	32	32	0	0
5	160	0	32	32	0	0
6	192	0	32	32	0	0
7	224	0	32	32	0	0
8	256	0	32	32	0	0
9	288	0	32	32	0	0
10	320	0	32	32	0	0
11	352	0	32	32	0	0
12	384	0	32	32	0	0
13	416	0	32	32	0	0
14	448	0	32	32	0	0
15	480	0	32	32	0	0
16	512	0	32	32	0	0
17	544	0	32	32	0	0
18	576	0	32	32	0	0
19	608	0	32	32	0	0
20	640	0	32	32	0	0
21	672	0	32	32	0	0
22	704	0	32	32	0	0
23	736	0	32	32	0	0
24	768	0	32	32	0	0
25	800	0	32	32	0	0
26	832	0	32	32	0	0
27	864	0	32	32	0	0
28	896	0	32	32	0	0
29	928	0	32	32	0	0
30	960	0	32	32	0	0
31	992	0	32	32	0	0
